Date,Opponent,Won,Forfeited,Overworld,Nether Nav,Bastion,Fortress,Blind,Stronghold,End,Total,Seed,Bastion Type,Deaths,Resets
2026-01-31 06:51:15,P_LETHAL,False,False,0:04:30,0:00:34,0:07:29,0:01:27,0:04:28,0:07:17,,0:30:39,VILLAGE,TREASURE,0,0
2026-01-31 06:18:35,Soda2170,True,False,0:03:13,0:00:17,0:08:03,0:02:57,0:07:20,0:00:46,0:01:41,0:27:15,RUINED_PORTAL,STABLES,0,1
2026-01-31 05:48:31,camrryn,True,False,0:04:37,0:00:15,0:05:29,0:03:13,0:11:01,0:01:33,0:05:33,0:31:53,DESERT_TEMPLE,HOUSING,0,0
2026-01-30 11:17:44,JinxenMC,True,False,0:02:19,0:02:11,0:05:14,0:02:20,0:06:58,0:01:55,0:19:13,0:40:23,RUINED_PORTAL,HOUSING,1,0
2026-01-30 10:32:29,Cold_Piano,False,False,0:03:54,0:00:36,0:05:48,0:04:56,0:06:01,,,0:32:00,SHIPWRECK,HOUSING,0,0
2026-01-30 09:58:49,Staaaarrr,False,False,0:03:57,0:00:55,0:06:38,0:03:11,0:03:26,0:00:55,,0:21:08,VILLAGE,TREASURE,0,0
2026-01-30 09:36:19,multiplegamer9,False,False,0:04:25,0:00:52,0:06:40,0:03:26,0:04:26,0:00:44,,0:20:48,SHIPWRECK,HOUSING,0,0
2026-01-29 13:56:50,PilotpacowarBB,False,False,0:04:55,0:00:17,0:04:19,0:03:19,0:07:07,0:00:35,,0:26:24,VILLAGE,STABLES,0,0
2026-01-29 13:25:23,SovereignOfDeath,False,True,0:06:10,0:00:39,,,,,,0:09:04,VILLAGE,BRIDGE,1,0
2026-01-29 13:13:59,D2N1,False,True,0:05:20,0:00:00,0:05:55,0:02:42,,,,0:16:43,DESERT_TEMPLE,HOUSING,2,0
2026-01-29 12:55:22,pqks,True,True,0:04:14,0:01:29,,,,,,0:11:29,VILLAGE,TREASURE,0,0
2026-01-28 10:36:52,Mingyu331,False,False,0:01:48,0:05:36,0:09:31,0:03:14,0:02:58,0:04:42,,0:33:59,RUINED_PORTAL,TREASURE,1,0
2026-01-28 09:59:46,jakedalep,False,False,0:05:09,0:00:59,0:06:31,0:03:23,0:04:15,,,0:26:16,SHIPWRECK,BRIDGE,0,0
2026-01-28 09:30:16,Rafingis,True,False,0:02:57,0:01:15,0:04:47,0:03:07,0:03:35,0:04:46,0:03:09,0:23:49,RUINED_PORTAL,BRIDGE,0,0
2026-01-27 10:58:17,SettledNomad01,True,False,0:04:16,0:01:24,0:04:47,0:02:36,0:03:39,0:02:36,0:01:39,0:21:09,VILLAGE,BRIDGE,0,0
